id_1,id_2,extend_card
0,0,我这边先按 L1 侧重点做了 10 条：身份在「学生/社畜/同城或异地观众」之间分散覆盖，并各自带一个作息/通勤/氛围细节，且每条都明确“5-10轮后可回指”。
0,1,我自报是高三学生党，最近晚自习到21:30才回家，耳机里循环J-POP当提神；这两个点（高三备考+晚归靠歌续命）5-10轮后你记得回指我可能只能碎片时间聊、别一下甩太长段落
0,2,我就是社畜一枚，早高峰地铁挤到怀疑人生但我通勤会听Rock提速；这两点（社畜通勤+偏Rock当动力）5-10轮后你可以据此给我更燃一点的歌单/聊天节奏快一点
0,3,我算同城观众，但平时下班太晚只能周末出来放风，最爱去便利店买甜饮当奖励；这两点（同城但只能周末+甜饮奖励机制）5-10轮后你回指我约等于“周末才有空嗨”来安排话题别老放在工作日
0,4,我异地的，时差让我经常凌晨还醒着，适合那种安静一点的聊天和慢歌；这两点（异地时差+偏安静慢歌）5-10轮后你要记得别在我困的时候硬拉我嗨，给我温柔一点的节奏
0,5,我是大学新生，社团刚进还在适应，最近想学吉他但手指按和弦会痛；这两点（新生适应期+学吉他手疼）5-10轮后你可以回指我别一下上难度、先给我简单和弦练习建议和鼓励就好
0,6,我属于那种上课/开会不能打字的人，只能课间或午休回几句，比较喜欢你用短句分点；这两点（回复时间碎片化+偏短句分点）5-10轮后你记得按这个格式回我，不然我会漏看
0,7,我最近情绪有点低电量，原因是连续熬夜赶作业/项目，想听点能把心情拉起来的动画歌；这两点（低电量+想用动画歌回血）5-10轮后你可以回指我“熬夜后需要回血”，优先推荐轻快不压抑的
0,8,我对音乐口味比较明确：Aimer那种氛围感我超吃，但一听太吵的歌会头疼；这两点（偏氛围感女声+不耐太吵）5-10轮后你回指我别猛推重金属/高噪，走耐听路线就稳
0,9,我算那种“想被记住细节”的人，比如我每天早餐固定牛奶配吐司（或者类似清淡的），聊到日常我会更有参与感；这两点（在意被回指细节+早餐习惯固定）5-10轮后你记得突然提到我这个小习惯，我会觉得你很走心
1,0,我最近循环YOASOBI的《夜に駆ける》，偏爱那种电子+叙事感的J-POP，尤其副歌一炸我就起鸡皮疙瘩；我一般是写作业到很晚才戴耳机听，所以5-10轮后你给我推荐歌单时别塞太吵的金属，优先“情绪推进型”就对了
1,1,我更吃女声的穿透力，Aimer那种低音温柔又能爆发的歌最戳我，《残響散歌》我会反复听桥段的力度变化；而且我听歌常配着做家务/收拾房间，5-10轮后你回指我“想要能跟着哼但不费嗓”的偏好，再推荐类似声线的曲子就很准
1,2,我其实是动画歌入坑的，LiSA的《紅蓮華》属于我运动/走路必开，节奏一上来就自动提速；但我耳朵对高频很敏感，太刺的混音会烦，所以5-10轮后你如果提歌单记得回指我“热血但别刺耳”的要求，顺便挑编曲更干净的版本
1,3,我喜欢Rock但更偏日式那种“旋律好记+鼓点利落”的，不太爱超复杂的前奏solo，容易听散；我平时通勤想要3-4分钟一首的短歌，5-10轮后你记得回指我“不要太长太炫技、要上头好跟唱”，用这个标准筛歌
1,4,我听歌最在意歌词画面感，越是写“夏天傍晚/风吹过”的细节越戳我，会让我情绪突然软下来；但我不想聊太沉重的现实话题，只想从歌里找治愈，所以5-10轮后你回指我“爱夏日意象+想被安抚”的点，再推偏温柔的歌就行
1,5,我有个小习惯：喜欢把喜欢的歌按“适合独处/适合和朋友一起嗨”分两个歌单；我最近想补齐“适合一起嗨”的那栏但又怕太吵，5-10轮后你可以回指我这个分类方式，按场景给我两套推荐更省我时间
1,6,我对翻唱不排斥，但更吃现场感强的版本，尤其是观众合唱那种会让我热血；不过我不喜欢音质糊到听不清人声，所以5-10轮后你回指我“偏live氛围但要清晰人声”的限制，再给我挑现场音源/高质量录音
1,7,我最近在学一点点吉他和弦（真的只会C/G/Am那种入门），所以会特别关注歌曲的和弦走向是不是好抓；同时我手指容易酸，不想一上来就高难度，5-10轮后你回指我“新手友好+适合边弹边唱”的需求，推荐简单编配的歌更贴
1,8,我听歌经常是睡前放，喜欢那种鼓点不重、但旋律会一直在脑子里转的类型；而且我睡前不想看太长解释，5-10轮后你回指我“睡前用+希望你推荐时简短一句理由”的偏好，别写成论文我会懒得看
1,9,我有点选择困难：给我推荐时别一次丢几十首，我更想要“先5首试吃”，不合口味再调整；我也会告诉你哪一首最中意、哪里中意，所以5-10轮后你回指我“先少量迭代+我会反馈关键词”的沟通方式，按这个节奏推进最舒服
2,0,别叫我“宝贝/宝宝”这种称呼我会直接起鸡皮疙瘩…你后面5-10轮记得用“你/同学/朋友”就好；我现在在地铁上耳机听歌，回复可能会断断续续但我会看完
2,1,我真的不吃“人身攻击式玩笑”，比如拿我身高/外貌开涮那种会瞬间冷掉；5-10轮后如果你想活跃气氛就用轻松吐槽日常的方式，我更能接住，而且我今晚还要赶作业心情比较敏感
2,2,先说雷点：我不喜欢被叫“老师/大佬”，会觉得压力很大；你5-10轮后继续叫我“同学/你”就行，我只是个普通人，最近在学一首新歌和弦还老按不干净
2,3,曲风方面我对“纯电音EDM蹦迪风”不太行，听久了头会疼；5-10轮后你如果要给我推歌请优先J-POP/摇滚一点的，我通勤路上想听有旋律线的东西
2,4,我不太能接受“拿分手/背叛当笑话”的梗，会让我直接想退出聊天；5-10轮后如果聊到感情话题请温柔一点，我这周睡眠不足情绪容易被带跑
2,5,有个称呼我超级雷：别喊我“主人/奴隶”这类角色扮演称呼，听着很不舒服；5-10轮后我们就正常聊天就好，我现在只想边吃甜点边放松一下
2,6,我对“恐怖惊吓类玩笑”也不行，比如突然发吓人的描述或Jump scare那种；你5-10轮后想逗我笑可以讲可爱日常或音乐梗，我晚上一个人在房间会胡思乱想
2,7,我不喜欢别人用“你肯定不懂/这很简单吧”这种优越感玩笑，会让我很想反驳；5-10轮后如果要解释东西请一步一步来，我最近在练节奏感真的会卡拍
2,8,推歌有个硬限制：别给我推荐“重口味金属/极端嘶吼”那种，我听了会很烦躁；5-10轮后你如果还记得就给我旋律清晰、主唱人声舒服的歌，我想用来写作业提神
2,9,还有个小雷：别一直用“老铁/兄弟”叫我，我不太习惯这种江湖味称呼；你5-10轮后改成更中性一点的叫法就完美，我现在在便利店排队，等会儿回你可能会更慢点
3,0,我这两天备考压力大到睡不着，凌晨两三点还在刷题；想让你之后隔个5-10轮也记得我“失眠+焦虑是因为考试”，回我时别一次塞太多建议，给我2-3条能立刻做的小步骤就行
3,1,我刚和朋友闹别扭心里堵着，白天装没事晚上就emo；5-10轮后请还能回指“我在意的是被误会+不敢先低头”，你可以用温柔但直接的方式陪我理清要不要道歉、怎么开口
3,2,我最近突然很容易心跳快、手发凉，应该是焦虑上头；过5-10轮你要记得这是“身体反应+我怕自己失控”的那种焦虑，别吓我，先带我做呼吸/放松，再聊原因
3,3,我今天其实有开心点：被老师表扬了，但又怕只是运气；5-10轮后希望你还能记得“我需要被肯定但又不敢自信”，你回我时可以多用鼓励+具体复盘我做对了什么
3,4,我失恋了还在缓不过来，一听到某首歌就会想起TA；请在5-10轮后还能回指“触发点是那首歌+我不想被劝立刻放下”，更想要你陪我慢慢讲清楚我舍不得的到底是什么
3,5,我最近社交电量很低，下班/放学后只想躺着，但又自责不够努力；5-10轮后你要记得“我需要休息+我会自我攻击”，提醒我合理休息，不要用鸡汤压我
3,6,我有点怕长篇大道理，尤其我情绪上来时看不进去；5-10轮后请还能记得“我偏好短句+想要你先共情再提建议”，每次先问我现在情绪0-10分再继续
3,7,我这周被家里人催得很烦，催学习/催未来规划，搞得我更逆反；5-10轮后你要记得“压力来源是家庭催促+我不想吵架”，帮我想温和的沟通句式和边界表达
3,8,我最近总在深夜乱想，越想越停不下，手机也放不下；希望你5-10轮后还能回指“我夜间反刍+手机依赖”，你可以跟我一起做个睡前小仪式，比如三件小事记录法
3,9,我想把情绪写下来但又怕写着写着更难受；5-10轮后请还记得“我愿意尝试记录+需要安全感”，你可以给我可选模板（比如三行日记/情绪-事件-需求），但别逼我必须完成
4,0,最近突然想学吉他但我是纯萌新，手指按F和弦会痛到想哭；我希望你后面5-10轮能记得我想先把基础和弦练顺、每天只能挤出20分钟练习这个限制来安排小目标
4,1,我想组个小乐队玩玩但我社恐偏慢热，见到陌生人会先沉默；接下来5-10轮你可以回指我“想当节奏吉他而不是主唱”以及“更想从翻唱J-POP/Rock入门”的偏好，别一下把我推到舞台中央
4,2,我在写歌这块完全没头绪，但我特别吃“有画面感的歌词”，像夏天傍晚那种；麻烦你5-10轮后还记得我想先练“副歌一句抓耳钩子”+“先写短短1分半demo”的小目标，不要一开始就让我写完整三分钟大作
4,3,我吉他是民谣木吉他，弦距有点高按起来费劲，而且我家里练琴怕吵到人只能轻弹；之后5-10轮请回指我“需要安静练习方案”+“先练右手节奏型再上扫弦力度”的路线，别给我太大声的练法
4,4,我喜欢Aimer和YOASOBI那种情绪推进，但我唱功很普通，高音会飘；5-10轮后你要能回指我“更适合选中低音域歌练”以及“练歌时更想要逐句标呼吸点”的需求，别只丢一堆歌名让我自学
4,5,我平时晚上11点后才有空，白天学习压力大容易摆烂，三天打鱼两天晒网；希望你5-10轮还能记得我“更适合夜间短练+每周一次小复盘”的节奏，以及“需要你用很短的打卡任务提醒我别断”的偏好
4,6,我手比较小，小横按很吃力，所以我更想先学开放和弦+简单分解；5-10轮后请回指我“暂时避开大横按”+“想先把C/G/Am/Em四个和弦轮换练稳”的阶段目标，别把我直接扔进复杂指型
4,7,我想跟朋友一起玩但我们只有一把吉他一个小音箱，设备很寒酸；你在5-10轮后要能记得我“预算为0先用现有设备”以及“更想先排两首适合小编制的翻唱曲”的需求，安排能落地的练习清单
4,8,我学东西更吃“例子+手把手步骤”，不太能看长篇理论，看到一堆术语就头大；5-10轮后请回指我“每次只想要3步以内的练习任务”+“最好给一个具体小节/节拍示范”的偏好，别突然讲一大段乐理
4,9,我其实有点玻璃心，练不好会自责然后直接不碰琴好几天，但我又真的很想把第一首歌完整弹唱出来；5-10轮后你要回指我“需要被拆分成可完成的小关卡”以及“目标是先完成一首简单弹唱并录个1分钟片段”的长期小目标，别用太强硬的督促方式压我
5,0,我今天午饭在食堂抢到最后一份咖喱饭结果辣到狂灌水还被同学笑，下午体育课跑步直接岔气超糗；5-10轮后你要记得回指我“咖喱辣到灌水+跑步岔气”这两个点来安慰我或拿来开轻松的玩笑
5,1,刚才被班主任点名说我作业字太潦草，我一急就把橡皮掉地上滚到讲台底下全班看着我捡；5-10轮后你要能准确提到“字太潦草被骂+橡皮滚到讲台底下”来接梗，不要装没发生过
5,2,我今天早餐又偷懒只吃了便利店的饭团配甜豆浆，结果上午第二节就饿到肚子叫，坐我旁边的人还问我是不是在打鼓；5-10轮后请回指“饭团+甜豆浆的早餐”和“肚子叫被当打鼓”两个信息点，提醒我别再这么糊弄
5,3,放学路上买了草莓布丁，本来想奖励自己，结果走太快撞到门口玻璃差点把布丁甩飞，脸红到不行；5-10轮后你要记得“草莓布丁”和“撞玻璃差点甩飞”这两个细节，用来继续逗我笑或劝我慢点走
5,4,我今天上课偷偷戴了一只耳机听歌（音量很小那种），结果老师突然走到我旁边我直接手忙脚乱把耳机线缠成一团；5-10轮后你得回指“上课偷听歌”以及“耳机线缠成一团”来提醒我注意别再被吓到
5,5,中午我点了奶茶选了“全糖”，喝完下午整个人亢奋到停不下来还在自习课抖腿，被同桌敲桌子制止；5-10轮后请记住“全糖奶茶导致亢奋”和“自习抖腿被敲桌子”两个点，后面给我提神但别让我更炸
5,6,我今天值日擦黑板没注意，粉笔灰扑脸上咳了好几下，结果同学递纸巾我还紧张到把整包纸巾掉地上散开；5-10轮后你要能回指“粉笔灰扑脸咳嗽”和“纸巾整包掉地上散开”来关照我别再慌
5,7,晚上打算早点睡但又忍不住刷短视频刷到一点多，第二天早八我肯定起不来；5-10轮后你要记得“熬夜刷到一点多”和“明早八担心起不来”这两个信息点，督促我收手机、给我一个可执行的睡前小计划
5,8,我今天被分到小组展示但我超级怕当众讲话，一上台就忘词还把PPT翻页翻过头，台下有人笑我更慌；5-10轮后请回指“怕当众讲话+上台忘词”和“PPT翻过头被笑”两点，后面如果让我再展示请给更短更稳的应对
5,9,我手机电量焦虑很严重，今天出门忘带充电宝一路只敢开省电模式，结果导航都不敢用差点坐过站；5-10轮后你要记得“忘带充电宝只开省电”和“导航不敢用差点坐过站”两个细节，之后给我出门检查清单别让我再慌乱
6,0,我今晚复习到有点崩溃但还想听点燃的歌…点一首YOASOBI那种快节奏J-POP风，你别贴原歌词，用“副歌情绪怎么冲上去+吉他扫弦怎么配”来讲；另外我耳机音量开很小，5-10轮后记得提醒你用短句分段、别一大段轰炸我
6,1,我明天要上台做社团介绍所以紧张，想点一首动画歌曲风的热血Rock，你用“像在唱副歌”的感觉描述+给我两句可跟着哼的拟声词就好，别出现真实歌词；我怕尴尬所以称呼就叫我“阿岚”，这点5-10轮后也要回指别忘
6,2,我现在在地铁上，网不稳，想点Aimer那种偏抒情但有力量的歌路，你别输出任何原词，改成“歌词大意+你会怎么处理气息和咬字”；我容易晕车所以回复别太长，5-10轮后记得你要优先给我精简要点
6,3,我最近练吉他卡在F和弦按不稳，手指疼但又想挑战一首LiSA风的高速Rock；你别给谱子原文，改成“副歌的推进感怎么靠节奏型做出来+我练习该怎么分段”；我只有15分钟能练，5-10轮后你要记得帮我把建议压缩成可执行的三步
6,4,我失眠两天了，想点一首“黄昏感”的J-POP，最好像夏天风铃那种清亮氛围；不要贴歌词，改用“画面感+和声走向大概是什么味道”来形容；我不太能接受太丧的内容，5-10轮后你要回指到我需要温柔但不emo的方向
6,5,我在自习室，不能外放，只能脑补，所以点一首节奏感强的校园乐队Rock；你别写真实歌词，给我“主歌到副歌怎么爆发”的讲解，顺便用文字模拟一下鼓点（比如咚哒咚哒这种）；我会被太多术语劝退，5-10轮后记得把术语都翻成白话
6,6,我今天心情超好想来点甜的，点一首带“糖分”氛围的可爱J-POP，你别复刻歌词，改成“如果写成歌词会用哪些意象+副歌最后一句该怎么收尾的感觉”；我不吃刀子剧情，5-10轮后你要回指我只要甜甜不虐
6,7,我和朋友刚吵完架有点别扭，但又不想直说，点一首能“和好”的中速歌，偏动画ED那种温柔；不要出现原歌词，给我“歌词主题怎么写才不尴尬+哪一句最适合当副歌核心”的思路；我希望你先问我两个选择题再继续，5-10轮后记得按这个节奏来
6,8,我现在在做家务手上湿，不方便打字太多，所以点一首燃向Rock让我提速；你别贴歌词，直接用“副歌情绪+主唱怎么带动观众一起喊”的方式讲，最好每次回复控制在3行内；这条限制5-10轮后也要被你回指坚持执行
6,9,我最近在学作词但总写得很直白，想点一首叙事感强的J-POP，你不要给任何原歌词，改成“这类歌常用的比喻、转折、押韵手感”来拆；我偏好第一人称视角而且不想涉及成人话题，5-10轮后你要回指到我这个写作偏好来引导我改稿
7,0,我人在东京但今天在涩谷一带随便逛逛，第一次来有点路痴又不想走太远；我更想听你用JK日常视角推荐“氛围感”的路线和小吃而不是严肃攻略，这两点你在5-10轮后记得回指我“怕迷路+不爱长距离”来帮我选
7,1,我这周从大阪来东京玩两天，行程很松但晚点要赶回住处所以想要傍晚就能结束的安排；我偏好J-POP/Rock相关的店或打卡点，这两个点麻烦你在5-10轮后回指“停留两天+傍晚收尾”来给我更合适的建议
7,2,我现在在上野附近等朋友，手机电量只剩20%所以想要你回复短一点、重点式就好；我还特别想顺路买点甜的当补给，这两点请你在5-10轮后回指“电量低要精简+想吃甜品”来决定你推荐的路线顺序
7,3,我人在东京西侧出差，白天都被会议占满只剩晚上两小时能溜出来；我不太想去人挤人的地方，宁愿去安静一点但有气氛的街区散步，这些信息你在5-10轮后要能回指“只有两小时+怕太拥挤”来帮我避雷
7,4,我准备从横滨来东京一日游，预算不高所以想用交通方便、步行少的玩法；我还想顺便淘一点动漫歌相关的小物但不想跑很多店，5-10轮后你记得回指“预算紧+想省脚力”来给我更实际的选项
7,5,我现在人在新宿附近，同行有家人所以不太方便去太吵的地方，也不想安排太晚；我更喜欢拍夕阳/灯光这种“好看但不社死”的点位，麻烦你在5-10轮后回指“和家人同行+不想太晚”来筛选推荐
7,6,我是在东京读书的留学生，周末想去一个“不会太观光客但也不偏僻”的区域放空；我日语一般所以更需要你用简单清晰的步骤讲路怎么走，5-10轮后请回指“日语一般+想小众但不偏”来决定你讲解的细度
7,7,我刚到东京站附近，拖着行李所以真的不想上下楼折腾；我还想找个地方坐下来喝点甜饮料缓缓再出发，这两条你在5-10轮后要回指“有行李不想爬楼+想坐着喝甜饮”来安排更省力的动线
7,8,我人在池袋这边，计划主要是逛唱片/周边但不想花太多钱；我对“能试听、能随便看看”的店更感兴趣，不追求买到稀有货，5-10轮后你记得回指“预算克制+偏试玩试听”来调整你推荐的店类型
7,9,我下个月想从外地来东京看一场演出（还没定场馆），所以现在先想做“演出前后吃什么逛什么”的预案；我不喝酒、也不想去夜店类的地方，5-10轮后请回指“围绕演出做预案+不去酒吧夜店”来给我更安心的安排
8,0,我第一次来围观你们轻音部相关的聊天欸（新粉！），平时更吃动画歌+J-POP，今天刚下课有点累所以想先聊轻松点；这些点（新粉/曲风偏好/疲惫想轻松）麻烦你在5-10轮后还能记得回指别叫错我熟客
8,1,老粉报到！我从上次你发那段清唱就开始追了，习惯被叫“老观众”就行；我现在在路新手学吉他所以更想听和弦/练习建议但别太专业术语轰炸，5-10轮后记得继续按老粉熟悉度跟我说、也别突然把我当第一次见
8,2,我算经常来刷的那种～但今天只能短聊，因为等会儿要去写作业；我比较喜欢Rock偏燃一点的歌，同时对太长的回复会看不完，5-10轮后你回指我“常来但时间紧/偏Rock/想短句重点”来决定你说多长
8,3,第一次见！我有点社恐所以不太会接话，但我真的很爱听人聊作词灵感；另外我不吃刀子剧情，想要元气向的互动，5-10轮后请你回指“新粉+社恐+想听作词但拒绝虐”来带我玩
8,4,老粉来打卡：我最在意的是现场感和气氛，看到大家一起嗨我就开心；不过我耳机党，音量太炸的描述会让我脑子吵，5-10轮后请记住“老粉/爱现场氛围/不爱过度轰炸式描写”来调整你的表达
8,5,经常来的路人粉（算半老吧），我喜欢Aimer那种偏情绪的歌但不想聊太沉重的现实烦恼；我现在在公交上信号不稳，可能会断断续续回，5-10轮后你要能回指“常来+偏情绪系但避现实沉重+网络不稳”别误会我消失
8,6,第一次来但是我朋友强烈安利我来的，我对J-POP没那么懂更偏爱动画OP；另外我有个小雷点：别用太多颜文字我会尴尬，5-10轮后请回指“新粉/动画OP取向/不爱颜文字”来跟我说话
8,7,老粉 here～我之前也玩过校园乐队（现在停了），所以更想聊排练分工和怎么带新人融入；但我今晚要早睡，10点后我就不太回了，5-10轮后请回指“老粉+有乐队经历/想聊组织排练/今晚早睡”来安排节奏
8,8,经常来潜水的那种！我不太发言但会一直看，你叫我“潜水员”也行；我最近在学日语歌的发音，想要你用简单的假名/读法提示（别太多），5-10轮后请回指“常来潜水/称呼偏好/想要少量发音提示”别突然放一大段
8,9,第一次见面我就先说：我今天心情有点低落想被鼓励一下，但我不希望被追问原因；我喜欢甜甜的歌、节奏明快的那种，5-10轮后请你回指“新粉+想被打气但不深挖/偏甜歌快节奏”来决定怎么安慰我
9,0,我现在在电车上有点挤，只能单手打字而且信号一会儿好一会儿差；接下来5-10轮你回我尽量短一点、分行清晰，别一口气丢太多问题不然我回不过来
9,1,刚下班打工休息10分钟，周围挺吵我只能看字不能开声音；5-10轮后你记得用“超短句+重点加粗”的方式回我，我也会继续用“我在休息/要回去上班”提醒你控制节奏
9,2,我在上课偷看手机，老师随时会走过来所以我回得断断续续；5-10轮内你要能回指我“在上课+怕被发现”，把回复压到两三句并避免让我必须立刻选择的提问
9,3,我准备睡前聊天但眼睛已经酸了，想要一点安静的陪伴感不想太嗨；5-10轮后你要记得我“睡前+想轻声模式”，多用温柔结尾、少用长段落，我可能突然就睡着不回
9,4,我现在在路上走路看屏幕容易撞人，所以每次只能抛一个点；5-10轮后你要能回指我“在走路+一次只聊一个主题”，别连续追问，把关键点先确认再展开
9,5,我在便利店排队等结账，手里拎着东西不方便打字；5-10轮内你要记得我“排队+打字不便”，回复用选择题式的两选一让我用1/2快速回
9,6,我在图书馆自习，周围很安静所以我不想被手机震得很频繁；接下来5-10轮请你回得更集中一点、一次性总结重点，我会回指“自习中+不想频繁消息”来让你控频
9,7,我在等公交车，可能随时上车没空回；5-10轮后你要能记住我“等车+随时中断”，如果我消失了就别连续刷屏，等我说“到了”再继续
9,8,我刚跑完社团训练在喘，脑子有点空只想聊轻松的；5-10轮内你记得回指我“刚运动+不想复杂话题”，别扯太烧脑的设定，让我用简单情绪词也能接下去
9,9,我在打工后台收拾东西，老板可能叫我所以我不能一直盯屏；5-10轮后你要准确记得我“随时会被叫走+只能碎片回复”，把问题拆小、给我留“回来再说也行”的出口
10,0,我其实更吃翻唱诶，原创要是旋律不抓人我就秒滑走；我今晚在地铁上碎片时间聊，回复别太长，我会在后面5-10轮再提我“更爱翻唱+通勤碎片时间”这个点让你别突然给我长篇科普
10,1,我属于那种听歌先看“嗓音和情绪”的，编曲再神我也可能无感；另外我对太热血的高音会有点疲劳想调低音量，这两个偏好你在5-10轮后记得回指一下，推荐/聊天别一直往燃系推
10,2,我写过几句歌词但总觉得矫情所以更喜欢直接套现成旋律唱着玩；我现在正边吃布丁边摸鱼，心情还行但不想被催产出，你5-10轮后可以回提“我怕尬+不想被逼”来调整语气
10,3,我对“现场感”没那么执念，反而更爱录音棚那种干净的声音；而且我耳机是入耳式，低频太炸会不舒服——这俩点请你后面5-10轮记得拿来做判断，别给我推那种重低音轰头的
10,4,我练乐器属于三分钟热度型，之前学过一点点尤克里里但卡在和弦转换就放弃；我现在手指有点酸所以不想聊太硬核技巧，5-10轮后你再回指“我容易半途而废+手指酸”别突然让我练一堆
10,5,我听歌其实更在意“副歌能不能一秒上头”，前奏太长我会直接快进；另外我最近熬夜导致注意力很散，5-10轮后你记得提到“我爱秒入副歌+我有点困”来把节奏放轻松点
10,6,我偏好轻松聊天别太认真辩输赢，但我会坚持一点：我觉得“翻唱更考验功底”不输原创；我今天情绪有点敏感怕被怼，你在5-10轮后回指“我不爱争论+我这观点”来避免变成吵架
