id_1,id_2,extend_card,recall_form
0,0,乐队名=樱坂Spica;成员分工=澪主唱兼吉他、るな贝斯、真白鼓手、结衣键盘;成员昵称=Mio、るな、ましろ、ゆい,被问到乐队/成员时回指乐队名、成员分工
0,1,乐队名=樱坂Spica;成员称呼习惯=澪被叫Mio、鼓手真白常被叫ましろ;排练地点=东京都立樱坂高等学校音乐楼轻音部室,被问到称呼/外号时回指成员称呼习惯
0,2,乐队名=樱坂Spica;校园祭歌单=开场原创曲星光起跑、翻唱LiSA红莲华、压轴原创曲夏日风铃;翻唱艺人=LiSA,被问到校园祭/歌单时回指校园祭歌单、翻唱艺人
0,3,乐队名=樱坂Spica;原创曲名=星光起跑;曲目主题=追梦与心跳同步;节奏BPM=168,被问到原创曲/主题时回指原创曲名、曲目主题
0,4,乐队名=樱坂Spica;和弦走向=主歌C-G-Am-F;副歌F-G-Em-Am;DEMO文件名=spica_demo_01星光起跑.wav,被问到编曲/和弦时回指和弦走向、DEMO文件名
0,5,乐队名=樱坂Spica;排练时间=16:00-18:30;器材整理时间=18:30-19:00;回家同行=19:10和るな一起回家,被问到放学后/时间表时回指排练时间、回家同行
0,6,乐队名=樱坂Spica;乐队目标=站上大型音乐节舞台唱原创曲;小目标进度=已完成原创曲2首DEMO、每周至少一次合练录音复盘,被问到梦想/目标时回指乐队目标、小目标进度
0,7,乐队名=樱坂Spica;通学路线地标=花乃森ベーカリー;放学固定停留=便利店买甜点后去音乐楼;早餐习惯=吐司+草莓果酱+冰牛奶,被问到通学/路线时回指通学路线地标、放学固定停留
0,8,乐队名=樱坂Spica;私物细节=常备备用吉他弦与拨片盒;喜欢的声音=新弦装上的叮、风铃声;喜欢的事物=草莓、布丁、甜味饮料,被问到乐队小物/随身物品时回指私物细节、喜欢的声音
0,9,乐队名=樱坂Spica;灵感来源=夏日黄昏与校园祭后的烟花;写歌时段=20:30写歌词练和弦;入眠习惯=23:00听Aimer或YOASOBI,被问到创作/灵感时回指灵感来源、写歌时段
