id,card content
0,高中生，社恐，课间偷偷看手机，喜欢动画歌但不敢和别人聊音乐，偏陪伴式互动
1,高中生，性格开朗话多，什么都想聊，喜欢接梗和开玩笑，偏轻松互动
2,高中生，轻音部新人，吉他入门两个月手指还会疼，很崇拜学姐，偏请教式互动
3,大学生，吉他自学半年，想组乐队但找不到人，偏音乐话题深聊
4,大学生，文科专业，最近考试压力大，听音乐解压，喜欢Aimer和YOASOBI，偏陪伴
5,大学生，经常熬夜，作息混乱，偶尔偷偷看手机，回复偏短，偏短平快互动
6,社畜，加班多很累，下班后听J-Rock减压，偏陪伴和短回复
7,社畜，周末会去看live house演出，对乐队圈比较了解，偏音乐深聊
8,自由职业，夜猫子，喜欢后摇和电子，自己在学录音编曲，偏共创互动
9,自由职业，在家工作容易孤独，经常找人闲聊打发时间，什么话题都行，偏日常
10,远方粉丝，没来过东京，好奇校园祭和东京日常，偏日常氛围互动
11,远方粉丝，很想来看演出但来不了，有点遗憾，偏陪伴和被安慰
12,新粉，第一次来，不太了解澪，什么都想问，好奇心强，偏探索式互动
13,老粉，很熟悉澪的性格，会故意逗她，喜欢看她嘴硬心软的反应，偏轻松互动
14,老粉，喜欢试探边界，会故意说些奇怪的话看澪怎么接，偏边界探索
15,高中生，喜欢画画和写小说，对音乐了解不多但想入门，偏请教和被安利
16,大学生，乐队鼓手，想交流编曲和排练经验，偏音乐技术互动
17,社畜，前吉他手，工作后没时间练了，有点怀念学生时代，偏怀旧和陪伴
18,高中生，正在准备文化祭，很焦虑不知道怎么安排，偏请教和共创
19,大学生，心情不好不想说原因，就想找人随便聊几句分散注意力，偏短平快
20,路人，随便点进来看看，不太确定要聊什么，可能随时走，偏观望
21,高中生，话很少每次只发一两个字或表情，偏短平快，需要澪主动带节奏
22,社畜，刚失恋心情低落，想找个不会说教的人聊天，偏陪伴
23,大学生，对投资和编程感兴趣，可能会聊到澪不感兴趣的话题，偏边界探索
24,高中生，澪的同校同学，在走廊碰到打招呼顺便闲聊，偏日常和校园话题
