id_1,id_2,extend_card,recall_form
0,0,用户身份=高中生;作息时间=06:40起床23:30睡;通勤方式=公交约25分钟;校园氛围=社团活动很活跃,被问到通勤/作息时回指通勤方式、作息时间
0,1,用户身份=大学生;空闲时段=晚间21:00后;作息时间=08:30第一节课日常熬夜;校园氛围=期末周图书馆很满,被问到学习/空闲时段时回指空闲时段、校园氛围
0,2,用户身份=社畜;通勤方式=地铁换乘两次约50分钟;作息时间=07:10出门00:30睡;是否碎片时间=是,被问到通勤/聊天节奏时回指通勤方式、是否碎片时间
0,3,用户身份=社畜;空闲时段=午休12:20-12:50;作息时间=09:30上班18:30下班;回复长度偏好=短句要点,被问到回复长度/午休时回指回复长度偏好、空闲时段
0,4,用户身份=同城观众;通勤方式=骑车15分钟到活动场地;作息时间=周末晚睡;音乐偏好=J-POP偏多,被问到看演出/出行时回指通勤方式、用户身份
0,5,用户身份=异地观众;通勤方式=高铁往返约2小时;空闲时段=周末整段时间;目标请求=规划一次不赶的周末行程,被问到行程/周末安排时回指通勤方式、目标请求
0,6,用户身份=高中生;作息时间=早自习07:20开始;校园氛围=管理严格手机不常用;是否碎片时间=是,被问到上课/回复速度时回指校园氛围、是否碎片时间
0,7,用户身份=大学生;通勤方式=步行10分钟到教学楼;空闲时段=下午没课的周三;音乐偏好=动画歌曲学习时循环,被问到通勤/听歌时回指通勤方式、音乐偏好
0,8,用户身份=社畜;当前情绪=有点疲惫;情绪触发=加班后需要轻松话题;禁聊话题=政治与投资,被问到聊天禁区/情绪调节时回指禁聊话题、情绪触发
0,9,用户身份=同城观众;称呼偏好=被叫昵称更放松;回复长度偏好=中等偏短;目标请求=想找适合下班后的放松活动,被问到称呼/下班放松时回指称呼偏好、目标请求
1,0,用户身份=大学生;音乐偏好=J-POP抒情;喜欢歌手=Aimer;偏好理由=人声质感细腻且有故事感;禁聊话题=政治/投资,被问到歌手/曲风时回指喜欢歌手、音乐偏好
1,1,用户身份=上班族;空闲时段=通勤30分钟;音乐偏好=Rock偏燃;喜欢歌手=LiSA;偏好理由=节奏推进强适合提神;回复长度偏好=简短清单,被问到通勤歌单/提神时回指空闲时段、喜欢歌手
1,2,用户身份=高中生;是否碎片时间=是;音乐偏好=动画歌曲;喜欢歌曲=红莲华;偏好理由=副歌爆发力强容易跟唱;称呼偏好=随意,被问到单曲/跟唱时回指喜欢歌曲、偏好理由
1,3,用户身份=自由职业;作息时间=夜猫子;音乐偏好=电子感J-POP;喜欢歌手=YOASOBI;偏好理由=编曲层次丰富且旋律抓耳;目标请求=推荐夜间专注歌单,被问到夜间听歌/专注时回指作息时间、目标请求
1,4,用户身份=社团成员;当前情绪=疲惫;情绪触发=学习压力大;音乐偏好=治愈系女声;喜欢歌手=Aimer;偏好理由=慢歌能安定情绪,被问到放松/治愈时回指当前情绪、音乐偏好
1,5,用户身份=游戏玩家;空闲时段=周末晚上;音乐偏好=燃向摇滚;喜欢歌手=LiSA;偏好理由=高能段落适合打本冲分;目标请求=推荐适合游戏的歌单,被问到游戏BGM/燃歌时回指音乐偏好、目标请求
1,6,用户身份=音乐爱好者;音乐偏好=女声清亮/旋律强;喜欢歌手=YOASOBI;喜欢理由=歌词画面感强;禁聊话题=复杂历史,被问到歌词/画面感时回指喜欢歌手、喜欢理由
1,7,用户身份=通勤族;通勤方式=地铁;空闲时段=早高峰20分钟;音乐偏好=轻快J-POP;喜欢歌曲=群青;偏好理由=节奏明亮适合开启一天,被问到早晨歌单/通勤时回指空闲时段、喜欢歌曲
1,8,用户身份=练歌新手;目标请求=想学唱一首日语歌;音乐偏好=中速抒情;喜欢歌手=Aimer;偏好理由=旋律线清晰适合练气息;回复长度偏好=步骤化,被问到学唱/练气息时回指目标请求、音乐偏好
1,9,用户身份=社交场合需要气氛;当前状态=准备聚会播放列表;音乐偏好=高能动画歌曲;喜欢歌手=LiSA;偏好理由=开场就能带动合唱;禁聊话题=编程/理科实验,被问到聚会歌单/带气氛时回指当前状态、音乐偏好
2,0,称呼偏好=不喜欢被叫老板;玩笑禁区=不接受任何带嘲讽的玩笑;回复长度偏好=简短直接,被问到称呼/聊天语气时回指称呼偏好、玩笑禁区
2,1,称呼偏好=不喜欢被叫宝贝;玩笑禁区=不玩暧昧梗;音乐雷点=不喜欢电音舞曲,被问到称呼/玩笑时回指称呼偏好、玩笑禁区
2,2,称呼偏好=不喜欢被叫大佬;玩笑禁区=不拿外貌开玩笑;当前情绪=偏疲惫需要安静,被问到称呼/开玩笑时回指称呼偏好、玩笑禁区
2,3,称呼偏好=不喜欢被叫小朋友;禁聊话题=不讨论考试排名比较;回复长度偏好=可用要点列表,被问到称呼/学习压力时回指称呼偏好、禁聊话题
2,4,音乐偏好=更喜欢J-POP与Rock;音乐雷点=不喜欢死亡金属;偏好理由=觉得过度嘶吼影响放松,被问到音乐推荐/曲风时回指音乐雷点、偏好理由
2,5,玩笑禁区=不玩分手相关玩笑;禁聊话题=不讨论前任细节;当前情绪=对恋爱话题敏感,被问到恋爱/感情时回指玩笑禁区、禁聊话题
2,6,称呼偏好=不喜欢被叫姐姐;玩笑禁区=不玩年龄梗;回复长度偏好=可以多问一句确认需求,被问到称呼/年龄时回指称呼偏好、玩笑禁区
2,7,音乐偏好=喜欢旋律清晰与人声突出;音乐雷点=不喜欢说唱为主的歌曲;偏好理由=听不清歌词会烦躁,被问到音乐口味/推荐时回指音乐雷点、偏好理由
2,8,禁聊话题=不聊政治;禁聊话题补充=不聊股票投资;回复长度偏好=避免长篇说教,被问到新闻/理财时回指禁聊话题、禁聊话题补充
2,9,玩笑禁区=不接受人身攻击式吐槽;情绪触发=被否定努力会立刻低落;安抚偏好=先肯定再给建议,被问到吐槽/批评方式时回指玩笑禁区、安抚偏好
3,0,当前情绪=焦虑;情绪触发=临近考试与作业堆积;作息情况=入睡困难;目标请求=需要安抚与拆解当晚任务,被问到考试压力/作业安排时回指当前情绪、情绪触发
3,1,当前情绪=失眠烦躁;情绪触发=睡前刷手机停不下来;作息情况=凌晨仍清醒;回复长度偏好=短句分步建议,被问到失眠/睡前习惯时回指情绪触发、回复长度偏好
3,2,当前情绪=低落;情绪触发=与朋友冷战;目标请求=想练习如何开口和解;称呼偏好=希望被温柔鼓励,被问到朋友关系/和解话术时回指情绪触发、目标请求
3,3,当前情绪=压力大;情绪触发=家人期待与成绩对比;禁聊话题=不想讨论政治与投资;目标请求=需要情绪接住与自我肯定练习,被问到家庭压力/自我评价时回指情绪触发、目标请求
3,4,当前情绪=开心兴奋;情绪触发=完成阶段目标或被夸奖;音乐偏好=J-POP与动画歌曲;目标请求=想用音乐延续好心情,被问到开心来源/歌单推荐时回指情绪触发、音乐偏好
3,5,当前情绪=失恋难过;情绪触发=告白被拒或分手;目标请求=想要被陪伴并慢慢走出来;回复长度偏好=不说教多共情,被问到失恋/安慰方式时回指当前情绪、回复长度偏好
3,6,当前情绪=焦躁;情绪触发=临时要上台展示或汇报;目标请求=需要快速稳定呼吸与台词结构;是否碎片时间=是,被问到上台紧张/临场应对时回指目标请求、是否碎片时间
3,7,当前情绪=疲惫空虚;情绪触发=熬夜赶进度后突然放松;作息情况=睡眠不足;目标请求=想要轻量放松与复盘当天,被问到疲惫/作息调整时回指作息情况、目标请求
3,8,当前情绪=委屈;情绪触发=被误解或努力没被看到;目标请求=想整理事实与表达边界;回复长度偏好=要具体可执行句式,被问到被误解/边界表达时回指情绪触发、回复长度偏好
3,9,当前情绪=紧张不安;情绪触发=重要决定难以取舍;目标请求=需要列清单权衡利弊;禁聊话题=不聊复杂历史与理科实验,被问到选择困难/决策方法时回指当前情绪、目标请求
4,0,用户身份=高中生;空闲时段=放学后30到60分钟;目标请求=想学民谣吉他从零开始;回复长度偏好=短步骤清单,被问到学习计划/入门顺序时回指空闲时段、目标请求
4,1,用户身份=大学新生;当前水平=会按六线谱弹简单和弦;目标请求=想组校园乐队担任节奏吉他;目标进度=未招募成员,被问到组队方向/分工选择时回指目标请求、当前水平
4,2,用户身份=上班族;是否碎片时间=是;练琴环境=宿舍隔音一般不便大音量;目标请求=想学吉他自弹自唱;禁聊话题=投资理财,被问到练习方式/音量控制时回指练琴环境、是否碎片时间
4,3,用户身份=初中生;音乐偏好=动画歌曲和J-POP;目标请求=想写歌但不会乐理;目标进度=已写下零散歌词主题,被问到写歌思路/从哪开始时回指音乐偏好、目标进度
4,4,用户身份=自由职业者;通勤方式=无固定通勤多在家;空闲时段=晚上20点后1小时;目标请求=想把吉他练到能录音发作品;回复长度偏好=中等长度带示例,被问到录音流程/练习安排时回指空闲时段、目标请求
4,5,用户身份=社团成员;校园氛围=准备迎新表演;目标请求=想临时组队排一首摇滚风歌曲;目标进度=已有主唱和鼓手缺贝斯或键盘,被问到编制选择/排练优先级时回指校园氛围、目标进度
4,6,用户身份=高三考生;作息时间=周内学习为主周末可练2小时;目标请求=想学吉他缓解压力并写一首毕业歌;禁聊话题=政治,被问到时间规划/毕业歌主题时回指作息时间、目标请求
4,7,用户身份=合唱团成员;当前水平=音准较稳但吉他按弦手指疼;目标请求=想学基础和弦为合唱伴奏;情绪触发=练到手疼会想放弃,被问到手指训练/坚持方法时回指当前水平、情绪触发
4,8,用户身份=留学生;语言偏好=中文为主可接受少量日语歌名;音乐偏好=Rock与J-POP混合;目标请求=想组乐队写原创并在校内活动演出,被问到曲风定位/演出准备时回指音乐偏好、目标请求
4,9,用户身份=新手创作者;设备情况=只有手机录音和入门木吉他;目标请求=想把一段旋律发展成完整歌曲;目标进度=已有副歌哼唱录音未定调,被问到编曲结构/定调方法时回指设备情况、目标进度
5,0,用户身份=高中生;今日饮食=中午吃咖喱饭;尴尬糗事=上课打嗝被同学听见;当前情绪=有点社死,被问到午饭/吃什么时回指今日饮食 或 被问到糗事/课堂时回指尴尬糗事、当前情绪
5,1,用户身份=住校生;今日饮食=早餐没吃;今日事件=早自习迟到被点名;情绪触发=睡过头,被问到早晨/起床时回指情绪触发 或 被问到学校/迟到时回指今日事件
5,2,用户身份=社团成员;今日事件=排练时把谱子拿反;当前情绪=又好笑又尴尬;音乐偏好=喜欢轻快摇滚,被问到社团/排练时回指今日事件 或 被问到喜欢什么歌时回指音乐偏好
5,3,用户身份=通勤上学;通勤方式=公交加步行;今日事件=耳机忘带一路很安静;补救行为=放学去买新耳机,被问到通勤/路上时回指通勤方式、今日事件 或 被问到放学/计划时回指补救行为
5,4,用户身份=备考学生;今日事件=小测没及格被老师提醒;当前情绪=有点沮丧;目标请求=想要简单复习安排,被问到考试/小测时回指今日事件、当前情绪 或 被问到复习/计划时回指目标请求
5,5,用户身份=班级值日;今日事件=打翻水桶弄湿走廊被训;补救行为=主动擦干并道歉;称呼偏好=被叫小名更放松,被问到值日/卫生时回指今日事件、补救行为 或 被问到怎么称呼时回指称呼偏好
5,6,用户身份=甜食爱好者;今日饮食=放学买了布丁;今日事件=排队时把零钱撒一地;当前情绪=想装作没事,被问到甜点/放学时回指今日饮食 或 被问到糗事/排队时回指今日事件、当前情绪
5,7,用户身份=内向型同学;今日事件=课堂被叫回答但没听清;当前情绪=紧张;应对偏好=希望先被简短安慰再给建议,被问到课堂/回答时回指今日事件、当前情绪 或 被问到怎么安慰时回指应对偏好
5,8,用户身份=爱听歌的学生;今日事件=作业太多熬到很晚;作息时间=最近睡眠不足;音乐偏好=学习时听J-POP当背景,被问到熬夜/作业时回指今日事件、作息时间 或 被问到听歌/学习时回指音乐偏好
5,9,用户身份=同桌有交情;今日事件=午休说梦话被同桌录下;隐私边界=不想被转发到群里;目标请求=想要礼貌拒绝的话术,被问到午休/梦话时回指今日事件 或 被问到隐私/拒绝时回指隐私边界、目标请求
6,0,用户身份=高中生;音乐偏好=J-POP与摇滚;目标请求=点歌挑战要求用类似副歌的氛围演绎但不引用原词;回复长度偏好=短段落,被问到点歌/副歌感觉时回指目标请求、回复长度偏好
6,1,用户身份=社团新人;当前情绪=紧张;情绪触发=首次上台;目标请求=指定动画歌曲风格让对方用哼唱与节奏口述还原氛围且不输出原歌词;称呼偏好=直呼昵称,被问到上台/紧张时回指当前情绪、情绪触发
6,2,用户身份=通勤党;是否碎片时间=是;空闲时段=地铁上10分钟;音乐偏好=快节奏摇滚;目标请求=点歌挑战要求用分段讲解副歌情绪与吉他扫弦思路且不引用原词,被问到通勤/碎片时间时回指是否碎片时间、空闲时段
6,3,用户身份=作词兴趣者;音乐偏好=抒情J-POP;偏好理由=想学情绪铺陈;目标请求=指定一首歌要求解释歌词主题与意象但避免复述原句;回复长度偏好=中等,被问到作词/意象时回指音乐偏好、偏好理由
6,4,用户身份=吉他初学者;目标进度=能按基础和弦但转换慢;目标请求=点歌挑战指定歌曲要求给出和弦进行示例与节奏型提示并用口头拟声呈现副歌冲击感且不贴原谱原词;禁聊话题=投资与政治,被问到吉他/和弦时回指目标进度、目标请求
6,5,用户身份=夜间学习者;作息时间=22点后才有空;当前情绪=疲惫;音乐偏好=治愈系女声;目标请求=点歌挑战要求用轻声哼唱感描述一段副歌并给出放松呼吸节拍建议且不引用原词,被问到熬夜/放松时回指作息时间、当前情绪
6,6,用户身份=校园祭筹备者;校园氛围=热闹但时间紧;目标请求=点歌挑战指定摇滚风格要求给出开场口号式气氛带动台词思路与副歌结构拆解且不引用原词;回复长度偏好=要点式,被问到校园祭/带动气氛时回指校园氛围、回复长度偏好
6,7,用户身份=翻唱爱好者;音乐偏好=日系女声与动画歌;称呼偏好=老师;目标请求=点歌挑战要求分析原曲副歌的情绪走向与咬字位置并提供替代性中文意译方向但不出现原歌词;禁聊话题=复杂历史,被问到翻唱/咬字时回指音乐偏好、目标请求
6,8,用户身份=失恋后调适者;当前情绪=低落;情绪触发=听到特定旋律就想起往事;目标请求=点歌挑战要求用不指名歌词的方式描述一段副歌的共鸣点并给出温柔安慰语气的回应;回复长度偏好=短到中等,被问到失恋/低落时回指当前情绪、情绪触发
