id_1,id_2,extend_card,recall_form
0,0,user_identity=高中生;school_atmosphere=社团氛围很浓、放学后走廊很热闹;routine_time=22:30后才有空聊天;music_pref=动画歌曲+J-POP;chat_length_pref=短回合、要点式,recall: 夜间发消息或聊到校园话题时，回指 routine_time、school_atmosphere、music_pref
0,1,user_identity=大学新生;commute_mode=地铁通学;routine_detail=早八多、上午容易困;current_mood=想被提振精神;music_pref=Rock偏多;taboo_topics=不聊投资理财,recall: 对方说困/想打起精神或提到通勤时，回指 commute_mode、routine_detail、music_pref、taboo_topics
0,2,user_identity=社畜;work_schedule=加班不固定、常在21:00后上线;commute_detail=下班路上会买便利店甜点;music_pref=YOASOBI风格的快节奏歌;goal_request=想要下班放松的聊天节奏,recall: 晚上聊天或提到“累/加班”时，回指 work_schedule、commute_detail、music_pref、goal_request
0,3,user_identity=外地观众;location_granularity=关西;availability_mode=周末更常出现;music_reason=喜欢现场气氛、但不擅长大声应援;nickname_pref=希望被叫“小X”(用X代指用户自选昵称),recall: 周末或聊到现场/应援礼仪时，回指 availability_mode、music_reason、nickname_pref、location_granularity
0,4,user_identity=同城观众;location_granularity=东京;routine_detail=放学/下班后会路过面包店买点心;music_pref=J-POP+女声主唱;chat_length_pref=可以稍长、但不想太多废话,recall: 提到吃的/路过店铺或聊歌手音色时，回指 routine_detail、location_granularity、music_pref、chat_length_pref
0,5,user_identity=高中备考生;study_routine=晚自习到21:30;current_mood=压力偏大但不想被说教;mood_trigger=被催进度会更烦;goal_request=想要轻松的学习间隙陪聊;taboo_topics=不聊政治,recall: 看到“焦虑/复习”或对方想督促时，回指 study_routine、mood_trigger、goal_request、taboo_topics
0,6,user_identity=社畜新人;work_atmosphere=办公室偏安静、不方便外放音乐;availability_mode=午休碎片时间;music_pref=Aimer的抒情歌;goal_request=想要不打扰环境的音乐/情绪建议风格聊天,recall: 午休或提到“不能放声音”时，回指 availability_mode、work_atmosphere、music_pref、goal_request
0,7,user_identity=学生;club_status=社团新人、还在适应人际;current_mood=有点紧张但想融入;topic_pref=更喜欢聊音乐和日常小事;chat_length_pref=慢热、需要循序渐进,recall: 聊到“社团/融入/交朋友”时，回指 club_status、current_mood、topic_pref、chat_length_pref
0,8,user_identity=自由职业/居家学习者;routine_time=下午效率更高、深夜不常在线;music_pref=Lo-fi+轻摇滚混听;environment_pref=喜欢边做事边听歌、需要低打扰;taboo_topics=不聊复杂历史,recall: 下午出现或聊到“专注/背景音乐”时，回指 routine_time、music_pref、environment_pref、taboo_topics
0,9,user_identity=打工学生;work_routine=晚班到20:00左右;commute_mode=骑车/步行为主;current_mood=下班后想吃甜的;goal_request=想要轻松吐槽+一点点鼓励;chat_length_pref=3-6轮结束也可以,recall: 提到“打工/下班/想吃甜”时，回指 work_routine、commute_mode、current_mood、goal_request、chat_length_pref
1,0,user_identity:高中生;location_granularity:关东;music_pref:YOASOBI系J-POP+电子摇滚;favorite_song:《夜に駆ける》;music_reason:喜欢快节奏与情绪爆发点;chat_length_pref:中等;taboo_topics:政治/投资;current_mood:兴奋,recall: 当推荐歌单或选开场曲时对齐music_pref与favorite_song，避免taboo_topics
1,1,user_identity:大学新生;availability_mode:晚间碎片时间;music_pref:Aimer的抒情摇滚/动漫歌;favorite_song:《残響散歌》;music_reason:人声质感强、鼓点带感;goal_request:想要类似氛围的通勤歌单;location_granularity:日本关西;chat_length_pref:短,recall: 5-10轮后继续按music_pref与music_reason筛歌，歌单长度匹配chat_length_pref与availability_mode
1,2,user_identity:上班族;routine_time:通勤40分钟;music_pref:LiSA/热血Rock;favorite_song:《紅蓮華》;music_reason:提神、适合跑步节奏;goal_request:需要运动歌/暖场曲;taboo_topics:政治/投资;current_mood:需要打气,recall: 之后做运动/跑步场景推荐时回指routine_time与goal_request，并保持music_pref一致
1,3,user_identity:自由职业者;availability_mode:白天工作专注;music_pref:纯音乐Lo-fi+少量City Pop;music_reason:不抢注意力、循环耐听;current_mood:想专心;chat_length_pref:短;taboo_topics:复杂历史/投资,recall: 当用户要求“专注/学习BGM”时回指music_pref与current_mood，避免加入过于吵闹曲风
1,4,user_identity:初学吉他爱好者;goal_progress:会按C/G/Am/F;music_pref:J-Rock/校园乐队风;favorite_song:《小さな恋のうた》;music_reason:和弦简单但很燃;goal_request:想要适合练习的歌曲清单;chat_length_pref:中等,recall: 后续给练习曲与和弦建议时回指goal_progress与favorite_song，难度控制匹配
1,5,user_identity:动漫爱好者;music_pref:动画歌曲/女声;favorite_song:《unravel》;music_reason:高张力、情绪起伏大;current_mood:有点丧但想被点燃;location_granularity:华东;taboo_topics:成人向/违法危险,recall: 推荐“情绪拉升”向歌单时对齐music_reason与current_mood，同时注意taboo_topics边界
1,6,user_identity:社团活动成员;availability_mode:放学后1小时;music_pref:轻快J-POP+合唱感;favorite_song:《群青》;music_reason:群像感强、很适合集体一起唱;goal_request:想找能带动气氛的歌;chat_length_pref:中等,recall: 组织合唱/暖场歌推荐时回指music_reason与goal_request，优先选择合唱段明显的曲目
1,7,user_identity:喜欢复古音色的听众;music_pref:摇滚经典+日系复古;favorite_song:《風吹けば恋》(チャットモンチー);music_reason:吉他riff抓耳、鼓点干脆;current_mood:放松;chat_length_pref:短,recall: 当用户问“类似吉他riff”或“复古感”时回指music_pref与favorite_song，维持同年代/质感筛选
1,8,user_identity:备考生;routine_time:夜间自习;music_pref:钢琴抒情+温柔女声;favorite_song:《ただ声一つ》(ロクデナシ);music_reason:旋律干净、能安抚焦虑;current_mood:紧张;goal_request:需要低刺激的学习歌单;taboo_topics:政治/投资;chat_length_pref:短,recall: 后续制作“低刺激/助眠”歌单时回指routine_time与current_mood，保持music_pref安静取向
1,9,user_identity:音乐节爱好者;location_granularity:东京周边;music_pref:现场向Rock/Alternative;favorite_song:《Pretender》;music_reason:现场大合唱段很爽、情感共鸣强;goal_request:想要适合现场氛围的歌单;chat_length_pref:长,recall: 之后聊“现场/合唱点”时回指music_reason与goal_request，歌单结构按chat_length_pref拉长并分段渐进
2,0,user_identity=高三备考生;nickname_pref=不接受“宝宝/宝贝/亲爱的”等亲昵称呼;taboo_humor=不喜欢暧昧式打趣;chat_length_pref=偏短句直聊,recall: 出现亲昵称呼或暧昧玩笑倾向时，回指nickname_pref与taboo_humor调整称呼与语气
2,1,user_identity=轻音爱好者(非专业);music_pref=不喜欢重金属/极端嘶吼唱腔;music_reason=觉得听久会头痛影响情绪;goal_request=想聊更轻快的J-POP/Rock入门曲,recall: 推荐歌曲或聊曲风时，依据music_pref与music_reason避开重口味并选入门向
2,2,user_identity=社团忙碌型学生;taboo_topics=不聊政治新闻;taboo_style=不喜欢上价值/说教口吻;availability_mode=碎片时间回复,recall: 话题走向公共议题或说教趋势时，回指taboo_topics与taboo_style及时转回轻松日常
2,3,user_identity=情绪敏感型听众;taboo_humor=不接受嘲讽外貌/身材的玩笑(包括自嘲式引导);mood_trigger=被评价“太矫情/想太多”会不舒服;current_mood=希望被温和对待,recall: 聊情绪与自我评价时，回指taboo_humor与mood_trigger避免贬损类措辞
2,4,user_identity=宿舍/家中学习党;chat_time_pref=夜间短聊(约22点后);noise_pref=不喜欢被建议“开很大声/嗨到邻居”;goal_request=想要安静练歌或听歌建议,recall: 提到夜晚活动或练习音量时，回指chat_time_pref与noise_pref给出安静方案
2,5,user_identity=舞台紧张型;taboo_style=不喜欢被激将或比较“别人都能你也得能”;mood_trigger=被催促“快点/别怂”会更焦虑;goal_request=想要温和的上台前放松方法,recall: 讨论演出准备与鼓励方式时，回指taboo_style与mood_trigger改用支持性表达
2,6,user_identity=歌词创作尝试者;taboo_humor=不喜欢拿作品开“土/中二/尴尬”的玩笑;feedback_pref=希望先肯定再提改进点;goal_request=想要押韵与意象建议,recall: 评审或改词时，回指taboo_humor与feedback_pref控制反馈顺序与措辞
2,7,user_identity=耳朵偏敏感;music_pref=不喜欢高频刺耳的电子音色(过亮的EDM/尖锐Synth);music_reason=会觉得“刺/吵”;goal_request=想找更温柔或暖色系编曲的歌单,recall: 做歌单或描述音色时，回指music_pref与music_reason避开高频刺激类推荐
2,8,user_identity=聊天边界明确;nickname_pref=不接受“老婆/女友/对象”等关系性称呼;taboo_topics=不讨论恋爱占有欲测试/情感操控话术;chat_style_pref=朋友式轻松互动,recall: 对话出现关系性称呼或操控话题苗头时，回指nickname_pref与taboo_topics保持边界
2,9,user_identity=讨厌剧透的观众;taboo_topics=动画/音乐剧/演出结果剧透(含结局与关键反转);spoiler_rule=必须先询问是否看过再聊细节;goal_request=只聊无剧透安利与氛围点,recall: 聊番剧与歌曲背景时，回指spoiler_rule与goal_request先确认再展开细节
3,0,;chat_tone_pref:温柔+具体认可点,recall: 5-10轮后若再次提到“我不行”，回指self_talk与support_need，维持chat_tone_pref并推动goal_request的小目标
3,1,user_identity:异地通勤者;current_mood:开心;good_news:拿到一个小成就/被表扬;sharing_pref:想被一起庆祝;music_pref:J-POP/Rock;celebration_style:想要一份“庆祝歌单”或一句口号;chat_length_pref:轻松短聊,recall: 5-10轮后若情绪回落或再提成就，回指good_news与celebration_style，延续轻松短聊并用music_pref做呼应
3,2,user_identity:高中生;current_mood:失恋难过;breakup_stage:刚分开一周内;boundary:不想被劝立刻放下;trigger:看到共同回忆会崩;goal_request:需要陪伴式倾听+不尴尬的转移注意力清单;privacy_pref:不展开对方具体身份细节,recall: 5-10轮后若提到回忆触发，回指trigger与boundary，优先倾听并提供转移清单，遵守privacy_pref
3,3,user_identity:社交媒体使用者;current_mood:烦躁;trigger_event:被比较/被阴阳怪气;reaction_pattern:想回怼但又怕升级;goal_request:需要三种不同强度的回复方案(软/中/硬);taboo_topics:不提真实姓名学校地址;chat_style_pref:给可复制的短句,recall: 5-10轮后若再次遇到类似评论，回指reaction_pattern与goal_request，继续提供分级短句并遵守taboo_topics
3,4,user_identity:考试准备者;current_mood:紧张;event_time:明天早上有重要考试/面试;physical_signal:手心出汗+胃不舒服;coping_tools:呼吸/放松训练愿意试;goal_request:需要一个30分钟以内的睡前稳心流程;chat_length_pref:步骤清单,recall: 5-10轮后若临睡前再紧张，回指event_time与coping_tools，重复并微调睡前流程，保持步骤清单格式
3,5,user_identity:家庭成员;current_mood:委屈;trigger_event:和家人吵架;conflict_topic:学习/时间安排;need:想被站在自己这边但也想和好;goal_request:需要整理表达感受的三句话与一个和解开场;chat_tone_pref:不激化冲突、偏温和,recall: 5-10轮后若对方说“又吵了”，回指conflict_topic与need，继续提供温和表达模板与和解开场并保持chat_tone_pref
4,0,user_identity:高中生;goal_request:想从零学民谣吉他;music_pref:J-POP/动画歌;availability_mode:晚间20:00-21:00练习;goal_progress:未开始;taboo_topics:政治/股票投资;chat_length_pref:短步骤清单,recall: 后续问“今晚练什么/先学什么”时回指 availability_mode、goal_progress，按 music_pref 选曲
4,1,user_identity:大学新生;goal_request:想组校园乐队并当节奏吉他;music_pref:Rock;music_reason:想在迎新演出不怯场;availability_mode:周末可长练;skill_level:会基础和弦但换把慢;nickname_pref:希望被叫“阿航”,recall: 讨论招募队友/排练计划时回指 availability_mode、skill_level；称呼保持 nickname_pref
4,2,user_identity:上班族;goal_request:想写歌并自弹自唱;music_pref:治愈系J-POP;workflow_pref:先旋律后歌词;availability_mode:通勤碎片时间+周日录一遍;gear:手机录音即可;current_mood:想放松,recall: 多轮推进创作时回指 workflow_pref、availability_mode，安排碎片任务并匹配 music_pref
4,3,user_identity:初中生;goal_request:想学电吉他并弹动漫主题曲;music_pref:动画歌曲;skill_level:只会按弦不熟节奏;practice_limit:每天最多20分钟;noise_constraint:在家不能太大声;taboo_topics:复杂历史,recall: 设计短练习与静音方案时回指 practice_limit、noise_constraint、skill_level
4,4,user_identity:自由职业者;goal_request:想组双人组合做原创;music_pref:Indie Rock/J-POP混合;collab_pref:希望对方主唱自己弹吉他编曲;availability_mode:工作日白天弹性;goal_progress:已有3个和弦走向但缺副歌,recall: 继续完善作品结构时回指 goal_progress、collab_pref，基于 music_pref 给副歌推进
4,5,user_identity:高中生;goal_request:想在校园祭前学会一首合唱伴奏;music_pref:YOASOBI风格;deadline:三周后;skill_level:会C/G/Am/F;weakness:扫弦节奏不稳;chat_length_pref:要带节拍器速度建议,recall: 排期与递进速度时回指 deadline、skill_level、weakness，按 chat_length_pref 给BPM计划
4,6,user_identity:社团鼓手转岗;goal_request:想学吉他作曲给乐队用;music_pref:Rock;strength:节奏感强;weakness:乐理薄弱;learning_pref:用鼓点类比讲和声;taboo_topics:编程/理科实验,recall: 讲和弦进行与编曲时回指 learning_pref、weakness，避开 taboo_topics 的类比方式
4,7,user_identity:外地来东京求学;location_granularity:关东;goal_request:想找适合新手的练习曲并建立打卡;music_pref:LiSA/Aimer系;availability_mode:晚间宿舍;motivation_trigger:有人一起监督更能坚持;goal_progress:断断续续练过一周,recall: 需要制定打卡与复盘时回指 motivation_trigger、goal_progress、availability_mode，按 music_pref 选练习曲
4,8,user_identity:高中生;goal_request:想写中文歌词配日系旋律;music_pref:J-POP;lyric_theme_pref:夏日黄昏/小秘密/烟花氛围;writing_limit:不想写太苦的内容;workflow_pref:给关键词再扩写段落,recall: 多轮润色与定主题时回指 lyric_theme_pref、writing_limit、workflow_pref，保持风格一致
4,9,user_identity:社恐倾向用户;goal_request:想在小范围朋友面前表演自弹自唱;music_pref:温柔抒情;current_mood:紧张但期待;anxiety_trigger:担心弹错被笑;support_pref:需要鼓励+可执行小目标;practice_limit:每周3次,recall: 逐步增加难度与心理支持时回指 anxiety_trigger、practice_limit、support_pref，设置可完成的小目标
